DateTime,DistrictCoolingFacility,DistrictHeatingFacility,DrybulbTemperatureHourly,ElectricityFacility,ZONE10OperativeTemperature,ZONE11OperativeTemperature,ZONE12OperativeTemperature,ZONE1OperativeTemperature,ZONE2OperativeTemperature,ZONE3OperativeTemperature,ZONE4OperativeTemperature,ZONE5OperativeTemperature,ZONE6OperativeTemperature,ZONE7OperativeTemperature,ZONE8OperativeTemperature,ZONE9OperativeTemperature
1325473200,0,277268.1644,2.200617284,56613.73109,17.99058647,17.30189937,12.22265972,17.32595887,14.04033848,17.17660873,17.94778834,17.79695516,18.36723951,16.84808,20.4183962,16.2710524
1325476800,0,277268.1644,2.420524691,56613.73109,17.96302259,17.2230187,12.2020636,17.28982967,14.04434144,17.13827583,17.92326255,17.75786426,18.33551121,16.80749483,20.33734436,16.10476092
1325480400,0,3526502.909,2.463734568,56613.73109,17.93479011,17.15479686,12.18104752,17.25462137,14.04083829,17.1010563,17.89840535,19.16137115,18.30345285,16.76671693,20.25248516,15.96500216
1325484000,0,15827448.53,2.760030864,56613.73109,19.35987471,17.09381573,12.16127671,18.95607159,14.03988414,18.83254003,19.19521072,19.32829235,19.48153626,18.70344637,20.39755918,15.83408549
1325487600,0,14796811.97,3.672067901,2154928.582,19.46170302,17.299019,12.14513945,19.10105524,14.05923516,18.97046741,19.30480131,19.3759954,19.58784277,18.87682987,20.76314371,16.13031995
1325491200,0,4967596.579,4.649305556,2072339.448,18.44143068,17.49279676,12.12784385,18.03210988,14.0917094,17.7608578,18.49795862,19.41252375,19.08034618,17.55509994,21.81622236,16.44274741
1325494800,0,4799863.382,6.09683642,1871940.502,18.24616628,17.39050198,12.10918974,17.88806121,14.15383358,17.57608037,18.50716622,19.43946116,19.12103218,17.39187126,23.02851376,16.43029345
1325498400,0,0,8.639274691,56613.73109,18.37524133,17.25628987,12.09828595,17.80914108,14.26243768,17.46585723,18.54890876,18.50435627,19.20843755,17.45451052,24.01397127,17.3282908
1325502000,0,0,11.18287037,56613.73109,18.55677026,17.23602523,12.09956214,17.89523727,14.3992748,17.50549158,18.53455228,18.35592105,19.38437932,17.50814724,24.88405873,18.67957227
1325505600,0,6254681.015,12.68325617,56613.73109,19.54562858,17.25308152,12.11176136,19.17910169,14.49962677,18.93132575,19.39957948,18.39050993,19.93940886,18.95206042,25.43951153,19.76533798
1325509200,0,5736705.184,13.00192901,56613.73109,19.61064659,17.52281389,12.13559351,19.27933857,14.54835392,19.02583549,19.4277437,18.38987758,19.92345725,19.0328753,25.42959775,20.76727423
1325512800,0,0,12.26080247,56613.73109,18.99618282,17.80183268,12.160688,18.38025634,14.53181102,17.91430162,18.65871687,18.3370054,19.44753038,17.89911906,24.6831897,21.65016322
1325516400,0,0,11.07484568,56613.73109,18.65229861,17.83168517,12.18513631,17.98567999,14.4762708,17.58327247,18.43677462,18.24863065,19.14242043,17.49537403,23.56334348,22.07577
1325520000,0,0,9.737654321,1357659.559,18.80955244,17.73838299,12.19459769,17.82352838,14.41104074,17.46557368,18.32837698,18.15429339,18.97067523,17.34349566,22.8882969,21.67575811
1325523600,0,10694257.92,8.481867284,1457859.892,19.55150255,17.64865787,12.19109372,19.10231732,14.34789286,18.90635228,19.31043806,19.27152854,19.68390256,18.86093108,22.446925,20.06448763
1325527200,0,9245514.957,7.804012346,1727507.273,19.58140278,17.73319383,12.17195244,19.16829641,14.30366779,18.99592355,19.34638797,19.36373791,19.69052023,18.94998951,22.10916718,19.17351018
1325530800,0,9242723.94,7.338734568,3524012.411,19.5961173,17.84756216,12.15444868,19.19686657,14.27347469,19.03442253,19.3535267,19.39762561,19.68431676,18.96909306,22.03863063,18.80303786
1325534400,0,9298890.198,6.52507716,3624212.744,19.60668509,17.91111573,12.13984111,19.21781873,14.22090414,19.0609641,19.36266547,19.42035212,19.68292074,18.98800269,21.85294043,18.6453464
1325538000,0,9431279.383,5.898533951,3624212.744,19.61693195,17.96118016,12.13054263,19.23042522,14.18011293,19.08020212,19.36747519,19.4361563,19.67858295,19.00055154,21.69250181,18.49889435
1325541600,0,2552350.233,5.09375,3411047.712,18.8652314,18.00314142,12.11839857,18.04239891,14.13908226,17.81138831,18.30033329,19.44379901,18.82904358,17.46094096,21.32218542,18.36513319
1325545200,0,207951.1233,5.132716049,156814.0642,18.35327512,17.90603285,12.10673203,17.58545762,14.07997989,17.42314712,18.07979719,18.35840237,18.56262599,17.08254407,20.64251557,18.0932146
1325548800,0,277268.1644,5.357638889,56613.73109,18.22461611,17.67066018,12.09581336,17.50015622,14.03864897,17.34053483,18.03826918,18.05066053,18.51136313,17.01280755,20.52542308,17.72570287
1325552400,0,277268.1644,5.121527778,56613.73109,18.16744136,17.52421597,12.0870971,17.48936878,14.02205844,17.30480018,18.04581898,17.98293628,18.50591355,17.01103675,20.70696308,17.49371466
1325556000,0,277268.1644,4.855709877,56613.73109,18.11354744,17.42706558,12.07939633,17.41654476,14.02260083,17.23961253,17.99232081,17.91265186,18.44396202,16.93423568,20.53293423,17.32404265
1325559600,0,277268.1644,4.466049383,56613.73109,18.0215115,17.34987831,12.07266617,17.26211174,13.97709764,17.13119209,17.8624248,17.82221704,18.30972707,16.7615575,19.93678116,17.15362282
1325563200,0,277268.1644,4.040895062,56613.73109,17.93496872,17.2820766,12.06230193,17.18576479,13.90299505,17.0672822,17.80631412,17.75524821,18.23950045,16.67768233,19.72889223,16.98238641
1325566800,0,3545960.016,3.410493827,56613.73109,17.8750323,17.22182095,12.04912193,17.17904243,13.8496447,17.04007422,17.81720799,19.13971216,18.22618321,16.67491704,19.88169377,16.84507858
1325570400,0,16230932.14,3.238040123,56613.73109,19.31684465,17.16729368,12.03693337,18.91977775,13.8472662,18.79921104,19.16058738,19.30721693,19.43916174,18.66287409,20.29630537,16.70191959
1325574000,0,15326850.88,3.635416667,2154928.582,19.42248234,17.36506703,12.02503052,19.06274992,13.86609552,18.93829563,19.26938772,19.35307901,19.54477199,18.83493915,20.53531224,16.89386166
