DateTime,DistrictCoolingFacility,DistrictHeatingFacility,DrybulbTemperatureHourly,ElectricityFacility,ZONE10OperativeTemperature,ZONE11OperativeTemperature,ZONE12OperativeTemperature,ZONE1OperativeTemperature,ZONE2OperativeTemperature,ZONE3OperativeTemperature,ZONE4OperativeTemperature,ZONE5OperativeTemperature,ZONE6OperativeTemperature,ZONE7OperativeTemperature,ZONE8OperativeTemperature,ZONE9OperativeTemperature
1104541200,0,277268.1644,11.675,75214.33698,18.80524487,16.31564159,16.56757491,18.20359967,15.52901713,18.08535291,18.40306985,18.64407637,18.87477588,17.59085919,19.67626119,16.9338964
1104544800,0,277268.1644,13.00833333,75214.33698,18.84958696,16.16630086,16.23601787,18.23495642,15.59579861,18.09704838,18.42552534,18.67372281,18.93457623,17.62389527,19.70033293,16.82080654
1104548400,0,277268.1644,12.45,75214.33698,18.79476652,16.06088189,16.03374794,18.175061,15.58212649,18.04343766,18.38403637,18.61877574,18.88594928,17.56354565,19.58166654,16.73473433
1104552000,0,277268.1644,12.025,75214.33698,18.74373564,15.9736566,15.87507863,18.12135912,15.56406932,17.99604963,18.34701144,18.57056937,18.84101508,17.50806058,19.46966988,16.6619247
1104555600,0,277268.1644,11.725,75214.33698,18.70131273,15.90320919,15.76260091,18.07684906,15.54752858,17.95587236,18.31545921,18.53139399,18.80391692,17.46067041,19.37071865,16.60028335
1104559200,0,2092297.907,11.48333333,75214.33698,18.66397281,15.84101211,15.66169975,18.03840582,15.53169811,17.92036714,18.28769025,19.43886796,18.77123438,17.41854343,19.28237639,16.5463788
1104562800,0,10119762.48,11.225,75214.33698,19.54573138,16.17068673,16.0364603,19.20659401,15.51641627,19.12531683,19.29068192,19.49648761,19.53829769,18.89573061,19.8096991,16.80460511
1104566400,0,10061283.53,10.98333333,3348444.07,19.58616576,16.45813281,16.41836977,19.29439125,15.50007877,19.21064558,19.3349792,19.53306565,19.57965772,18.98599182,19.8666206,17.07977766
1104570000,0,3924436.362,10.95833333,3181093.64,18.88027731,16.32494837,16.30835218,18.69273883,15.49125497,18.52592887,18.51684516,19.55738145,19.23970516,17.812002,19.88169071,16.98968823
1104573600,0,3905989.936,11.29166667,2632970.796,18.68772184,16.23772091,16.51038098,18.59926315,15.50109552,18.4149693,18.56991023,19.57694371,19.25443164,17.68205115,20.84180956,16.86200829
1104577200,0,0,11.79166667,75214.33698,18.72412619,16.2479055,16.96415705,18.29924727,15.53110363,18.08997607,18.6039679,18.81575685,19.12195954,17.71571243,21.26099499,16.76398923
1104580800,0,0,12.29166667,75214.33698,18.77126194,16.24063054,17.36859827,18.2860124,15.56617513,18.05072507,18.57247869,18.69369854,19.21066764,17.70594433,22.03112176,16.70278154
1104584400,0,5616658.567,12.61666667,75214.33698,19.62056895,16.54093427,18.43192632,19.34490634,15.59444876,19.18024535,19.40844607,18.67769343,19.81151407,19.04361592,22.51644288,16.93831096
1104588000,0,5128560.036,12.75833333,75214.33698,19.67481439,16.78820257,19.2489091,19.42291877,15.61380794,19.24142677,19.44518389,18.66460697,19.83004346,19.11720375,22.7547644,17.15984107
1104591600,0,0,12.74166667,75214.33698,19.11239027,16.63614534,19.30176548,18.63540369,15.62042579,18.30938667,18.70633969,18.64322378,19.30766288,18.05314123,22.14953843,17.03670988
